Data/Hora, Temperatura Interna, Temperatura Externa, Temperatura Referencia, Valor Potenciômetro
02/09/22 08:26:21,22.8,22.2,80.0,100
02/09/22 08:26:22,22.8,22.2,80.0,100
02/09/22 08:26:23,22.8,22.2,80.0,100
02/09/22 08:26:25,22.9,22.2,80.0,100
02/09/22 08:26:26,22.9,22.2,80.0,100
02/09/22 08:26:28,22.9,22.2,80.0,100
02/09/22 08:26:29,22.9,22.2,80.0,100
02/09/22 08:26:31,23.1,22.2,80.0,100
02/09/22 08:26:32,23.2,22.2,80.0,100
02/09/22 08:26:33,23.2,22.2,80.0,100
02/09/22 08:26:35,23.5,22.2,80.0,100
02/09/22 08:26:36,23.5,22.2,80.0,100
02/09/22 08:26:38,23.8,22.2,80.0,100
02/09/22 08:26:39,23.8,22.2,80.0,100
02/09/22 08:26:41,24.1,22.2,80.0,100
02/09/22 08:26:42,24.1,22.2,80.0,100
02/09/22 08:26:43,24.4,22.2,80.0,100
02/09/22 08:26:45,24.4,22.2,80.0,100
02/09/22 08:26:46,24.8,22.2,80.0,100
02/09/22 08:26:48,25.1,22.2,80.0,100
02/09/22 08:26:49,25.1,22.2,80.0,100
02/09/22 08:26:51,25.6,22.2,80.0,100
02/09/22 08:26:52,25.6,22.2,80.0,100
02/09/22 08:26:53,26.1,22.2,80.0,100
02/09/22 08:26:55,26.1,22.2,80.0,100
02/09/22 08:26:56,26.6,22.2,80.0,100
02/09/22 08:26:58,26.6,22.2,80.0,100
02/09/22 08:26:59,27.2,22.2,80.0,100
02/09/22 08:27:01,27.2,22.2,80.0,100
02/09/22 08:27:02,27.8,22.2,80.0,100
02/09/22 08:27:03,28.4,22.2,80.0,100
02/09/22 08:27:05,28.4,22.2,80.0,100
02/09/22 08:27:06,28.9,22.2,80.0,100
02/09/22 08:27:08,28.9,22.2,80.0,100
02/09/22 08:27:09,29.6,22.2,80.0,100
02/09/22 08:27:11,29.6,22.2,80.0,100
02/09/22 08:27:12,30.2,22.2,80.0,100
02/09/22 08:27:13,30.2,22.2,80.0,100
02/09/22 08:27:15,30.9,22.2,80.0,100
02/09/22 08:27:16,30.9,22.2,80.0,100
02/09/22 08:27:18,31.6,22.2,80.0,100
02/09/22 08:27:19,32.2,22.2,80.0,100
02/09/22 08:27:21,32.2,22.2,80.0,100
02/09/22 08:27:22,32.9,22.2,80.0,100
02/09/22 08:27:23,32.9,22.2,80.0,100
02/09/22 08:27:25,33.6,22.2,80.0,100
02/09/22 08:27:26,33.6,22.2,80.0,100
02/09/22 08:27:28,34.4,22.2,80.0,100
02/09/22 08:27:29,34.4,22.2,80.0,100
02/09/22 08:27:31,35.1,22.2,80.0,100
02/09/22 08:27:32,35.1,22.2,80.0,100
02/09/22 08:27:33,35.9,22.2,80.0,100
02/09/22 08:27:35,36.6,22.2,80.0,100
02/09/22 08:27:36,36.6,22.2,80.0,100
02/09/22 08:27:38,37.3,22.2,80.0,100
02/09/22 08:27:39,37.3,22.2,80.0,100
02/09/22 08:27:41,38.1,22.2,80.0,100
02/09/22 08:27:42,38.1,22.2,80.0,100
02/09/22 08:27:43,38.9,22.2,80.0,100
02/09/22 08:27:45,38.9,22.2,80.0,100
02/09/22 08:27:46,39.6,22.2,80.0,100
